[01/Jul/2022:11:13:23 +0545] 192.168.100.155 - - "GET / HTTP/1.0" 468
[20/Sep/2022:11:24:11 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 55831
[20/Sep/2022:23:26:57 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 55831
[21/Sep/2022:14:35:07 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81011
[21/Sep/2022:23:49:16 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81960
[21/Sep/2022:23:49:21 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81960
[22/Sep/2022:11:59:36 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81960
[23/Sep/2022:10:09:00 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81960
[23/Sep/2022:11:46:08 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81960
[24/Sep/2022:21:12:30 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81842
[25/Sep/2022:09:43:05 +0545] ::1 TLSv1.3 TLS_AES_256_GCM_SHA384 "GET /funolympic/ HTTP/1.1" 81837
